,Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,EngineL,CarAge,State
4704,Ford,2011.0,Territory,SUV,USED,Automatic,AWD,Diesel,8.8,299433.0,6,SUV,4,5,6995.0,2.7,13,NSW
4705,Ford,2022.0,Puma,SUV,USED,Automatic,Front,Premium,5.3,5912.0,3,SUV,5,5,30800.0,1.0,2,WA
4706,Volkswagen,2016.0,Polo,Hatchback,USED,Automatic,Front,Premium,4.8,82989.0,4,Hatchback,5,5,16990.0,1.2,8,NSW
4707,Mazda,2013.0,CX-5,SUV,USED,Automatic,AWD,Diesel,5.7,146861.0,4,SUV,4,5,19986.0,2.2,11,NSW
4708,Land,2018.0,Rover,SUV,USED,Automatic,AWD,Diesel,7.0,87220.0,6,SUV,4,5,89800.0,3.0,6,NSW
4709,Holden,2010.0,Cruze,Sedan,USED,Automatic,Front,Unleaded,7.5,208010.0,4,Sedan,4,5,12990.0,1.8,14,QLD
4710,Mazda,2016.0,CX-3,SUV,USED,Automatic,Front,Unleaded,6.1,135088.0,4,SUV,4,5,22990.0,2.0,8,NSW
4711,Suzuki,2012.0,Swift,Hatchback,USED,Manual,Front,Unleaded,5.5,161852.0,4,Hatchback,5,5,9990.0,1.4,12,NSW
4712,Ford,2006.0,Territory,SUV,USED,Automatic,AWD,Unleaded,14.2,282537.0,6,SUV,4,5,14990.0,4.0,18,WA
4713,Holden,2018.0,Colorado,Ute / Tray,USED,Automatic,4WD,Diesel,9.0,81916.0,4,Ute / Tray,4,5,34990.0,2.8,6,NSW
4714,Mitsubishi,2006.0,Pajero,SUV,USED,Automatic,4WD,Unleaded,13.5,162001.0,6,SUV,4,7,18970.0,3.8,18,QLD
4715,BMW,2015.0,228I,Coupe,USED,Automatic,Rear,Premium,6.3,66479.0,4,Coupe,2,4,29880.0,2.0,9,NSW
4716,Toyota,2000.0,RAV4,SUV,USED,Manual,4WD,Unleaded,9.0,287500.0,4,SUV,4,5,5990.0,2.0,24,WA
4717,Mitsubishi,2017.0,ASX,SUV,USED,Automatic,Front,Unleaded,7.4,72301.0,4,SUV,4,5,23990.0,2.0,7,NSW
4718,Audi,2018.0,Q5,SUV,USED,Automatic,AWD,Diesel,5.5,125292.0,4,SUV,4,5,34913.0,2.0,6,NSW
4719,Honda,2021.0,CR-V,SUV,USED,Automatic,AWD,Unleaded,7.4,2743.0,4,SUV,4,5,49290.0,1.5,3,NSW
4720,Holden,2009.0,Calais,Sedan,USED,Automatic,Rear,Unleaded,9.9,144400.0,6,Sedan,4,5,14990.0,3.6,15,QLD
4721,Suzuki,2017.0,Swift,Hatchback,USED,Automatic,Front,Unleaded,4.8,12100.0,4,Hatchback,5,5,21990.0,1.2,7,NSW
4722,Toyota,2018.0,Corolla,Hatchback,USED,Automatic,Front,Hybrid,4.1,55347.0,4,Hatchback,5,5,27888.0,1.8,6,NSW
4723,Ford,2022.0,Everest,SUV,USED,Automatic,4WD,Diesel,8.5,2413.0,6,SUV,4,7,89990.0,3.0,2,NSW
4726,Ford,2010.0,Fiesta,Sedan,USED,Manual,Front,Unleaded,6.1,173700.0,4,Sedan,4,5,7990.0,1.6,14,SA
4727,Hyundai,2019.0,I30,Hatchback,USED,Automatic,Front,Unleaded,7.4,59649.0,4,Hatchback,4,5,22990.0,2.0,5,NSW
4729,Holden,2015.0,UTE,Ute / Tray,USED,Automatic,Rear,Unleaded,12.4,91150.0,8,Ute / Tray,2,2,34990.0,6.0,9,NSW
4730,Volvo,2014.0,XC60,SUV,USED,Automatic,Front,Premium,7.0,106654.0,4,SUV,4,5,19888.0,2.0,10,WA
4731,Kia,2007.0,Cerato,Sedan,USED,Manual,Front,Unleaded,8.9,139350.0,4,Sedan,4,5,8990.0,2.0,17,NSW
4732,Mazda,2010.0,BT-50,Ute / Tray,USED,Manual,Rear,Diesel,8.3,137761.0,4,Ute / Tray,2,4,14990.0,3.0,14,SA
4733,Holden,2013.0,Captiva,SUV,USED,Automatic,AWD,Diesel,8.1,146735.0,4,SUV,4,7,12990.0,2.2,11,NSW
4734,Kia,2021.0,Sportage,SUV,USED,Automatic,Front,Unleaded,7.9,69586.0,4,SUV,4,5,28990.0,2.0,3,WA
4735,Mitsubishi,2017.0,Triton,Ute / Tray,USED,Automatic,4WD,Diesel,7.6,130277.0,4,Ute / Tray,4,5,27990.0,2.4,7,NSW
4736,Volkswagen,2018.0,Tiguan,SUV,USED,Automatic,AWD,Premium,8.1,82668.0,4,SUV,4,5,39888.0,2.0,6,NSW
4737,Mitsubishi,2016.0,Triton,Ute / Tray,USED,Manual,4WD,Diesel,7.2,159987.0,4,Ute / Tray,4,5,23913.0,2.4,8,NSW
4738,Toyota,2021.0,RAV4,SUV,USED,Automatic,AWD,Hybrid,4.8,38011.0,4,SUV,5,5,61990.0,2.5,3,NSW
4739,Holden,2018.0,Calais,Hatchback,USED,Automatic,Front,Premium,7.6,49082.0,4,Hatchback,5,5,29990.0,2.0,6,SA
4740,Toyota,2012.0,Camry,Sedan,USED,Automatic,Front,Unleaded,7.8,78350.0,4,Sedan,4,5,17999.0,2.5,12,WA
4741,Kia,2018.0,Cerato,Hatchback,USED,Automatic,Front,Unleaded,7.4,63268.0,4,Hatchback,5,5,21490.0,2.0,6,NSW
4742,Toyota,2017.0,Hilux,Ute / Tray,USED,Automatic,4WD,Diesel,8.5,115845.0,4,Ute / Tray,4,5,43990.0,2.8,7,WA
4743,Mazda,2014.0,3,Hatchback,USED,Automatic,Front,Unleaded,6.0,105330.0,4,Hatchback,5,5,22986.0,2.5,10,NSW
4744,Renault,2015.0,Kangoo,Commercial,USED,Manual,Front,Diesel,5.2,90143.0,4,Commercial,4,2,16980.0,1.5,9,WA
4745,Hyundai,2019.0,I30,Hatchback,USED,Automatic,Front,Unleaded,7.4,54228.0,4,Hatchback,4,5,22990.0,2.0,5,NSW
4746,Mitsubishi,2014.0,Triton,Ute / Tray,USED,Manual,4WD,Diesel,8.3,171011.0,4,Ute / Tray,4,5,19800.0,2.5,10,NSW
4747,Hyundai,2020.0,I30,Hatchback,USED,Automatic,Front,Unleaded,7.4,47563.0,4,Hatchback,4,5,28990.0,2.0,4,NSW
4748,Mitsubishi,2018.0,ASX,SUV,USED,Automatic,Front,Unleaded,7.6,100692.0,4,SUV,4,5,21999.0,2.0,6,WA
4749,Hyundai,2017.0,Iload,Commercial,USED,Automatic,Rear,Diesel,8.8,83078.0,4,Commercial,4,3,34975.0,2.5,7,WA
4750,Audi,2016.0,A3,Hatchback,USED,Automatic,Front,Premium,4.9,94803.0,4,Hatchback,5,5,17999.0,1.4,8,NSW
4751,Suzuki,2023.0,Jimny,SUV,USED,Automatic,AWD,Unleaded,6.9,15.0,4,SUV,2,4,44990.0,1.5,1,NSW
4752,MG,2020.0,ZST,SUV,USED,Automatic,Front,Unleaded,7.3,30726.0,3,SUV,5,5,26990.0,1.3,4,NSW
4753,Mitsubishi,2015.0,Triton,Ute / Tray,USED,Automatic,4WD,Diesel,9.3,171655.0,4,Ute / Tray,4,5,20990.0,2.5,9,NSW
4754,Isuzu,2017.0,D-MAX,Ute / Tray,USED,Automatic,4WD,Diesel,7.9,108515.0,4,Ute / Tray,4,5,39380.0,3.0,7,WA
4755,Mercedes-Benz,2022.0,CLA,Sedan,USED,Automatic,Front,Premium,5.7,23544.0,4,Sedan,4,5,68900.0,1.3,2,WA
4756,Toyota,2023.0,RAV4,SUV,USED,Automatic,AWD,Hybrid,4.8,33.0,4,SUV,5,5,65888.0,2.5,1,NSW
4757,Honda,2012.0,Civic,Hatchback,USED,Automatic,Front,Premium,6.5,33700.0,4,Hatchback,5,5,19990.0,1.8,12,NSW
4758,Hyundai,2013.0,I30,Hatchback,USED,Manual,Front,Unleaded,6.5,144171.0,4,Hatchback,5,5,15990.0,1.8,11,NSW
4759,Kia,2020.0,RIO,Hatchback,USED,Automatic,Front,Unleaded,5.4,56546.0,3,Hatchback,5,5,25990.0,1.0,4,WA
4761,Toyota,2020.0,Landcruiser,SUV,USED,Automatic,4WD,Diesel,8.0,101433.0,4,SUV,4,7,57975.0,2.8,4,WA
4762,Nissan,2012.0,Micra,Hatchback,USED,Automatic,Front,Unleaded,6.5,78181.0,3,Hatchback,5,5,9750.0,1.2,12,NSW
4763,Skoda,2013.0,Octavia,Hatchback,USED,Automatic,Front,Premium,5.2,141042.0,4,Hatchback,5,5,13888.0,1.4,11,NSW
4764,Mitsubishi,2021.0,Outlander,SUV,USED,Automatic,Front,Unleaded,7.2,60586.0,4,SUV,4,7,29290.0,2.4,3,WA
4765,Hyundai,2014.0,Imax,Wagon,USED,Automatic,Rear,Diesel,9.0,128035.0,4,Wagon,4,8,24990.0,2.5,10,NSW
4766,Hyundai,2014.0,Santa,SUV,USED,Automatic,AWD,Diesel,7.3,120033.0,4,SUV,4,7,28990.0,2.2,10,WA
4767,LDV,2019.0,V80,Commercial,USED,Automatic,Front,Diesel,9.3,98887.0,4,Commercial,4,3,42980.0,2.5,5,NSW
4768,Toyota,2023.0,RAV4,SUV,USED,Automatic,AWD,Hybrid,4.8,536.0,4,SUV,5,5,61870.0,2.5,1,NSW
4769,Mitsubishi,2015.0,Triton,Ute / Tray,USED,Automatic,Rear,Diesel,7.5,137201.0,4,Ute / Tray,4,5,24990.0,2.4,9,NSW
4770,Mercedes-Benz,2022.0,GLA,SUV,USED,Automatic,AWD,Premium,7.7,6595.0,4,SUV,4,5,82990.0,2.0,2,WA
4771,Hyundai,2013.0,Imax,Wagon,USED,Automatic,Rear,Diesel,9.0,178361.0,4,Wagon,4,8,19990.0,2.5,11,WA
4772,Volkswagen,2018.0,Golf,Wagon,USED,Automatic,AWD,Premium,8.0,66109.0,4,Wagon,4,5,41800.0,2.0,6,NSW
4773,LDV,2020.0,G10,Commercial,USED,Automatic,Rear,Diesel,8.6,112817.0,4,Commercial,4,2,22990.0,1.9,4,WA
4774,Hyundai,2013.0,Imax,Wagon,USED,Automatic,Rear,Diesel,9.0,162774.0,4,Wagon,4,8,19990.0,2.5,11,NSW
4775,Kia,2010.0,Sorento,SUV,USED,Automatic,Front,Unleaded,9.2,132450.0,4,SUV,4,7,14999.0,2.3,14,NSW
4776,Nissan,2013.0,Dualis,SUV,USED,Manual,Front,Unleaded,8.1,181279.0,4,SUV,4,5,7990.0,2.0,11,NSW
4778,Land,2019.0,Rover,SUV,USED,Automatic,AWD,Diesel,7.8,29780.0,6,SUV,4,5,104900.0,3.0,5,WA
4779,Volvo,2019.0,XC40,SUV,USED,Automatic,AWD,Premium,7.4,69798.0,4,SUV,4,5,42990.0,2.0,5,NSW
4780,Volkswagen,2022.0,T-Cross,Liverpool Volkswagen New Cars,DEMO,Automatic,Front,Premium,5.4,21.0,3,SUV,4,5,34990.0,1.0,2,NSW
4781,Holden,2016.0,Colorado,Ute / Tray,USED,Automatic,Rear,Diesel,8.9,187485.0,4,Ute / Tray,4,5,19990.0,2.8,8,NSW
4782,Jeep,2013.0,Grand,SUV,USED,Automatic,4WD,Premium,10.4,112819.0,6,SUV,4,5,19888.0,3.6,11,WA
4783,Mazda,2016.0,3,Sedan,USED,Automatic,Front,Unleaded,6.0,150002.0,4,Sedan,4,5,19950.0,2.5,8,NSW
4784,Toyota,2004.0,Corolla,Hatchback,USED,Manual,Front,Unleaded,8.0,216301.0,4,Hatchback,5,5,5990.0,1.8,20,WA
4785,Great,2012.0,Wall,Ute / Tray,USED,Manual,Rear,Diesel,8.3,120074.0,4,Ute / Tray,4,5,10990.0,2.0,12,NSW
4786,Toyota,2001.0,Corolla,Sedan,USED,Automatic,Front,Unleaded,7.8,156238.0,4,Sedan,4,5,4700.0,1.8,23,NSW
4787,Toyota,2017.0,Hilux,Ute / Tray,USED,Automatic,4WD,Diesel,8.5,120291.0,4,Ute / Tray,4,5,42990.0,2.8,7,WA
4788,Toyota,2020.0,RAV4,SUV,USED,Automatic,Front,Hybrid,4.7,55401.0,4,SUV,5,5,44986.0,2.5,4,NSW
4789,Nissan,2010.0,Navara,Ute / Tray,USED,Manual,4WD,Diesel,9.8,207627.0,4,Ute / Tray,4,5,18990.0,2.5,14,NSW
4790,Ford,2015.0,Mondeo,Wagon,USED,Automatic,Front,Diesel,5.3,122542.0,4,Wagon,4,5,16990.0,2.0,9,WA
4791,Toyota,2010.0,Corolla,Hatchback,USED,Automatic,Front,Unleaded,7.7,168648.0,4,Hatchback,5,5,12990.0,1.8,14,NSW
4792,Hyundai,2010.0,Santa,SUV,USED,Automatic,4WD,Diesel,7.5,200516.0,4,SUV,4,7,11990.0,2.2,14,NSW
4793,Lexus,2015.0,NX200T,SUV,USED,Automatic,AWD,Premium,7.9,140878.0,4,SUV,4,5,27980.0,2.0,9,NSW
4794,Volkswagen,2020.0,Amarok,Ute / Tray,USED,Automatic,4WD,Diesel,9.0,28955.0,6,Ute / Tray,4,5,50888.0,3.0,4,WA
4795,Holden,2013.0,Colorado,Ute / Tray,USED,Manual,4WD,Diesel,7.9,184544.0,4,Ute / Tray,4,5,24990.0,2.8,11,WA
4796,Ford,2014.0,Ranger,Ute / Tray,USED,Manual,4WD,Diesel,8.9,276992.0,5,Ute / Tray,4,5,24990.0,3.2,10,NSW
4797,Hyundai,2011.0,Iload,Commercial,USED,Manual,Rear,Diesel,8.5,234232.0,4,Commercial,4,3,14990.0,2.5,13,NSW
4798,Toyota,2010.0,Landcruiser,SUV,USED,Automatic,4WD,Diesel,8.5,269033.0,4,SUV,4,7,34990.0,3.0,14,NSW
4799,Audi,2019.0,A4,Wagon,USED,Automatic,AWD,Premium,6.7,21546.0,4,Wagon,4,5,64990.0,2.0,5,NSW
4802,Kia,2020.0,Sportage,SUV,USED,Automatic,Front,Unleaded,7.9,76115.0,4,SUV,4,5,25800.0,2.0,4,NSW
4803,Kia,2019.0,Cerato,Sedan,USED,Automatic,Front,Unleaded,6.8,48244.0,4,Sedan,4,5,33990.0,1.6,5,WA
4804,Mazda,2007.0,BT-50,Ute / Tray,USED,Manual,4WD,Diesel,9.2,225483.0,4,Ute / Tray,2,4,12800.0,3.0,17,NSW
4805,Mazda,2022.0,CX-5,SUV,USED,Automatic,AWD,Unleaded,7.5,4880.0,4,SUV,4,5,41990.0,2.5,2,WA
4806,Toyota,2014.0,Hilux,Ute / Tray,USED,Automatic,Rear,Unleaded,11.7,126021.0,6,Ute / Tray,2,4,21990.0,4.0,10,NSW
4808,Hyundai,2013.0,IX35,SUV,USED,Automatic,Front,Unleaded,8.5,110381.0,4,SUV,4,5,17990.0,2.0,11,WA
4809,Volkswagen,2014.0,Touareg,SUV,USED,Automatic,AWD,Diesel,7.2,148330.0,6,SUV,4,5,33995.0,3.0,10,NSW
4810,Holden,2015.0,Colorado,Ute / Tray,USED,Automatic,Rear,Diesel,8.9,213247.0,4,Ute / Tray,4,5,21999.0,2.8,9,NSW
4811,Nissan,2019.0,X-Trail,SUV,USED,Automatic,Front,Unleaded,8.1,83298.0,4,SUV,4,7,27986.0,2.5,5,NSW
4812,Audi,2009.0,A3,Hatchback,USED,Automatic,Front,Premium,8.5,234583.0,4,Hatchback,5,5,8990.0,1.8,15,NSW
4813,Volkswagen,2020.0,T-Cross,SUV,USED,Automatic,Front,Premium,5.4,61791.0,3,SUV,4,5,24990.0,1.0,4,WA
4814,Skoda,2022.0,Karoq,SUV,USED,Automatic,Front,Unleaded,6.6,2181.0,4,SUV,4,5,49880.0,1.4,2,NSW
4815,Toyota,2020.0,Corolla,Hatchback,USED,Automatic,Front,Hybrid,4.2,34420.0,4,Hatchback,5,5,39990.0,1.8,4,WA
4817,Ford,2017.0,Ranger,Ute / Tray,USED,Automatic,4WD,Diesel,9.0,146199.0,5,Ute / Tray,4,5,43888.0,3.2,7,WA
4818,Mitsubishi,2009.0,Lancer,Sedan,USED,Manual,Front,Unleaded,7.7,134558.0,4,Sedan,4,5,11995.0,2.0,15,NSW
4819,Subaru,2018.0,Outback,SUV,USED,Automatic,AWD,Unleaded,7.3,151772.0,4,SUV,4,5,19990.0,2.5,6,NSW
4820,Subaru,2022.0,WRX,Sedan,USED,Automatic,AWD,Premium,8.5,22411.0,4,Sedan,4,5,49999.0,2.4,2,WA
4821,BMW,2015.0,118I,Hatchback,USED,Automatic,Rear,Premium,5.2,94751.0,3,Hatchback,5,5,19990.0,1.5,9,NSW
4822,Holden,2017.0,Colorado,Ute / Tray,USED,Manual,4WD,Diesel,7.9,109609.0,4,Ute / Tray,4,5,37985.0,2.8,7,NSW
4824,Ford,2019.0,Mustang,Coupe,USED,Automatic,Rear,Premium,12.7,26370.0,8,Coupe,2,4,59990.0,5.0,5,WA
4825,Mazda,2001.0,323,Hatchback,USED,Automatic,Front,Unleaded,9.5,165000.0,4,Hatchback,5,5,3300.0,1.8,23,NSW
4827,Toyota,2018.0,Landcruiser,Ute / Tray,USED,Manual,4WD,Diesel,10.7,67480.0,8,Ute / Tray,2,3,84975.0,4.5,6,WA
4828,Volkswagen,2013.0,Transporter,Ute / Tray,USED,Manual,Front,Diesel,8.1,275235.0,4,Ute / Tray,2,2,22990.0,2.0,11,NSW
4829,Mazda,2010.0,3,Sedan,USED,Manual,Front,Unleaded,7.9,92705.0,4,Sedan,4,5,10999.0,2.0,14,NSW
4830,Mitsubishi,2021.0,Outlander,SUV,USED,Automatic,Front,Unleaded,7.7,41041.0,4,SUV,4,7,39490.0,2.5,3,WA
4831,Toyota,2019.0,Hilux,Ute / Tray,USED,Automatic,4WD,Diesel,8.5,177224.0,4,Ute / Tray,4,5,45490.0,2.8,5,NSW
4832,BMW,2017.0,330I,Sedan,USED,Automatic,Rear,Premium,5.8,59740.0,4,Sedan,4,5,41998.0,2.0,7,WA
4833,Volkswagen,2012.0,Golf,Hatchback,USED,Automatic,AWD,Premium,8.7,101687.0,4,Hatchback,5,5,22990.0,2.0,12,NSW
4834,Toyota,2011.0,Camry,Sedan,USED,Automatic,Front,Unleaded,7.8,101700.0,4,Sedan,4,5,17990.0,2.5,13,NSW
4835,Audi,2007.0,A4,Sedan,USED,Automatic,AWD,Premium,10.8,199987.0,6,Sedan,4,5,13888.0,3.1,17,NSW
4836,Nissan,2010.0,Navara,Ute / Tray,USED,Automatic,4WD,Diesel,10.5,281986.0,4,Ute / Tray,2,2,11800.0,2.5,14,NSW
4837,Mazda,2020.0,CX-5,SUV,USED,Automatic,AWD,Unleaded,7.5,74707.0,4,SUV,4,5,32950.0,2.5,4,NSW
4838,MG,2017.0,6,Hatchback,USED,Automatic,Front,Premium,7.8,38779.0,4,Hatchback,4,5,17450.0,1.8,7,WA
4839,Toyota,2012.0,Kluger,SUV,USED,Automatic,4WD,Unleaded,11.0,132203.0,6,SUV,4,7,20999.0,3.5,12,NSW
4840,Toyota,2016.0,Hilux,Ute / Tray,USED,Automatic,4WD,Diesel,9.0,270096.0,4,Ute / Tray,2,2,28913.0,2.8,8,NSW
4841,Nissan,2020.0,Navara,Ute / Tray,USED,Manual,Front,Diesel,6.4,28100.0,4,Ute / Tray,2,2,27990.0,2.3,4,NSW
4842,Toyota,2019.0,Corolla,Hatchback,USED,Automatic,Front,Hybrid,4.2,40279.0,4,Hatchback,5,5,33990.0,1.8,5,NSW
4843,Ford,2019.0,Focus,Hatchback,USED,Automatic,Front,Unleaded,6.4,31753.0,3,Hatchback,5,5,23999.0,1.5,5,WA
4845,Toyota,2023.0,RAV4,SUV,USED,Automatic,AWD,Hybrid,4.8,45.0,4,SUV,5,5,55990.0,2.5,1,NSW
4846,Toyota,2023.0,RAV4,SUV,USED,Automatic,Front,Unleaded,6.0,1090.0,4,SUV,5,5,45990.0,2.0,1,NSW
4847,Ford,2007.0,Ranger,Ute / Tray,USED,Automatic,4WD,Diesel,9.3,237216.0,4,Ute / Tray,4,5,12990.0,3.0,17,NSW
4848,Nissan,2016.0,X-Trail,SUV,USED,Automatic,Front,Diesel,5.3,162885.0,4,SUV,4,5,16990.0,1.6,8,NSW
4849,Holden,2017.0,Commodore,Sedan,USED,Automatic,Rear,Unleaded,9.5,183764.0,6,Sedan,4,5,19990.0,3.6,7,WA
4850,Toyota,2009.0,Hilux,Ute / Tray,USED,Automatic,4WD,Diesel,9.5,317971.0,4,Ute / Tray,4,5,19999.0,3.0,15,NSW
4851,Holden,2018.0,Colorado,Ute / Tray,USED,Automatic,4WD,Diesel,8.6,48607.0,4,Ute / Tray,4,5,39990.0,2.8,6,NSW
4852,Toyota,2009.0,Landcruiser,SUV,USED,Automatic,4WD,Diesel,8.5,300043.0,4,SUV,4,7,26990.0,3.0,15,NSW
4853,Toyota,2016.0,Hilux,Ute / Tray,USED,Automatic,4WD,Diesel,8.5,245686.0,4,Ute / Tray,4,5,38990.0,2.8,8,NSW
4854,Holden,2012.0,Commodore,Wagon,USED,Automatic,Rear,Premium,14.6,58432.0,8,Wagon,4,5,36990.0,6.0,12,NSW
4855,MG,2022.0,HS,Alto North Shore MG,NEW,Automatic,Front,Unleaded,7.3,36.0,4,SUV,4,5,28816.0,1.5,2,NSW
4856,Ford,2010.0,Falcon,Sedan,USED,Automatic,Rear,Unleaded,10.1,206956.0,6,Sedan,4,5,9999.0,4.0,14,NSW
4857,Mitsubishi,2020.0,ASX,SUV,USED,Automatic,Front,Unleaded,7.6,44000.0,4,SUV,4,5,26490.0,2.0,4,WA
4858,Skoda,2022.0,Octavia,Alto Skoda Artarmon New Cars,DEMO,Automatic,Front,Premium,6.3,1500.0,4,Sedan,4,5,51490.0,2.0,2,NSW
4859,Mercedes-Benz,2016.0,CLS250,Sedan,USED,Automatic,Rear,Diesel,5.4,63402.0,4,Sedan,4,4,49800.0,2.1,8,NSW
4860,Volkswagen,2021.0,Amarok,Ute / Tray,USED,Automatic,4WD,Diesel,8.9,29826.0,4,Ute / Tray,4,5,46950.0,2.0,3,NSW
4861,Mitsubishi,2020.0,Triton,Ute / Tray,USED,Automatic,4WD,Diesel,8.6,38610.0,4,Ute / Tray,4,5,48990.0,2.4,4,NSW
4862,Mercedes-Benz,2002.0,MB100,Commercial,USED,Manual,Front,Diesel,0.0,460269.0,5,Commercial,4,2,1895.0,2.9,22,NSW
4863,Toyota,2012.0,Landcruiser,SUV,USED,Automatic,4WD,Diesel,8.5,247776.0,4,SUV,4,5,34990.0,3.0,12,NSW
4864,Toyota,2012.0,Corolla,Hatchback,USED,Automatic,Front,Unleaded,6.6,94860.0,4,Hatchback,5,5,18950.0,1.8,12,NSW
4865,Ford,2022.0,Puma,SUV,USED,Automatic,Front,Premium,5.3,11124.0,3,SUV,5,5,31888.0,1.0,2,WA
4866,Ford,2023.0,Everest,SUV,USED,Automatic,4WD,Diesel,8.5,20.0,6,SUV,4,7,99990.0,3.0,1,NSW
4867,Lexus,2014.0,RX270,SUV,USED,Automatic,Front,Unleaded,9.7,184543.0,4,SUV,4,5,24995.0,2.7,10,NSW
4868,Toyota,2017.0,Kluger,SUV,USED,Automatic,Front,Unleaded,9.1,145119.0,6,SUV,4,7,32990.0,3.5,7,NSW
4869,Nissan,2006.0,X-Trail,SUV,USED,Automatic,4WD,Unleaded,9.8,158100.0,4,SUV,4,5,9990.0,2.5,18,NSW
4870,Mitsubishi,2017.0,Lancer,Sedan,USED,Automatic,Front,Unleaded,7.4,78835.0,4,Sedan,4,5,23990.0,2.0,7,NSW
4872,Toyota,2023.0,Kluger,SUV,USED,Automatic,AWD,Hybrid,5.6,24.0,4,SUV,5,7,69990.0,2.5,1,NSW
4873,Hyundai,2020.0,Kona,SUV,USED,Automatic,Front,Unleaded,6.2,56686.0,4,SUV,4,5,23888.0,2.0,4,NSW
4874,Toyota,2015.0,Hilux,Ute / Tray,USED,Manual,4WD,Diesel,8.3,265442.0,4,Ute / Tray,4,5,23913.0,3.0,9,NSW
4875,Nissan,2017.0,Qashqai,SUV,USED,Automatic,Front,Unleaded,6.9,93153.0,4,SUV,4,5,24990.0,2.0,7,WA
4876,Mazda,2011.0,6,Sedan,USED,Automatic,Front,Unleaded,8.7,188008.0,4,Sedan,4,5,10986.0,2.5,13,NSW
4877,Hyundai,2018.0,Elantra,Sedan,USED,Automatic,Front,Unleaded,7.2,105794.0,4,Sedan,4,5,18888.0,2.0,6,NSW
4878,Mitsubishi,2023.0,Outlander,Suttons Mitsubishi Arncliffe- New/Demo,NEW,Automatic,Front,Unleaded,7.7,10.0,4,SUV,4,7,47760.0,2.5,1,NSW
4879,Mercedes-Benz,2017.0,Vito,Commercial,USED,Automatic,Rear,Diesel,6.1,165923.0,4,Commercial,4,2,28990.0,2.1,7,NSW
4880,Nissan,2012.0,Navara,Ute / Tray,USED,Manual,4WD,Diesel,9.2,192000.0,4,Ute / Tray,4,5,16990.0,2.5,12,WA
4881,Mitsubishi,2014.0,ASX,SUV,USED,Automatic,Front,Unleaded,7.4,69369.0,4,SUV,4,5,21990.0,2.0,10,NSW
4882,Holden,2007.0,Captiva,SUV,USED,Automatic,4WD,Unleaded,11.5,205852.0,6,SUV,4,7,6800.0,3.2,17,NSW
4883,Kia,2015.0,Carnival,Wagon,USED,Automatic,Front,Unleaded,11.6,210093.0,6,Wagon,4,8,24950.0,3.3,9,NSW
4885,Hyundai,2016.0,Tucson,SUV,USED,Automatic,Front,Unleaded,7.9,69465.0,4,SUV,4,5,23885.0,2.0,8,NSW
4886,Mitsubishi,2021.0,Outlander,SUV,USED,Automatic,Front,Unleaded,7.7,46741.0,4,SUV,4,7,38990.0,2.5,3,WA
4887,Holden,2016.0,Commodore,Wagon,USED,Automatic,Rear,Unleaded,9.8,123800.0,6,Wagon,4,5,26995.0,3.6,8,NSW
4888,Subaru,2014.0,Impreza,Hatchback,USED,Automatic,AWD,Unleaded,6.8,130641.0,4,Hatchback,5,5,16850.0,2.0,10,NSW
4889,Holden,2013.0,Commodore,Sedan,USED,Automatic,Rear,Premium,11.5,143924.0,8,Sedan,4,5,39990.0,6.0,11,NSW
4890,Nissan,2015.0,Navara,Ute / Tray,USED,Manual,4WD,Diesel,6.5,106814.0,4,Ute / Tray,4,5,36986.0,2.3,9,NSW
4891,BMW,2008.0,X5,SUV,USED,Automatic,4WD,Diesel,8.8,147538.0,6,SUV,4,5,18990.0,3.0,16,NSW
4892,Hyundai,2012.0,Iload,Commercial,USED,Manual,Rear,Diesel,8.0,221000.0,4,Commercial,4,3,17990.0,2.5,12,WA
4893,Ford,2015.0,Everest,SUV,USED,Automatic,AWD,Diesel,8.5,130875.0,5,SUV,4,7,41990.0,3.2,9,NSW
4894,Holden,2012.0,Cruze,Sedan,USED,Automatic,Front,Unleaded,6.9,172467.0,4,Sedan,4,5,6999.0,1.4,12,NSW
4895,Jeep,2012.0,Grand,SUV,USED,Automatic,AWD,Diesel,8.3,197610.0,6,SUV,4,5,12800.0,3.0,12,NSW
4896,Ford,2018.0,Mondeo,Wagon,USED,Automatic,Front,Diesel,5.3,156507.0,4,Wagon,4,5,14990.0,2.0,6,NSW
4897,Toyota,2021.0,C-HR,SUV,USED,Automatic,AWD,Premium,6.5,24878.0,4,SUV,4,5,40990.0,1.2,3,NSW
4898,Nissan,2015.0,Patrol,SUV,USED,Automatic,4WD,Diesel,11.8,59000.0,4,SUV,4,7,47990.0,3.0,9,WA
4899,LDV,2020.0,D90,SUV,USED,Automatic,Rear,Unleaded,10.2,23763.0,4,SUV,4,7,30888.0,2.0,4,NSW
4900,Jeep,2013.0,Grand,SUV,USED,Automatic,4WD,Diesel,7.5,187400.0,6,SUV,4,5,19990.0,3.0,11,NSW
4901,Toyota,2013.0,Kluger,SUV,USED,Automatic,4WD,Unleaded,11.6,125274.0,6,SUV,4,7,23513.0,3.5,11,NSW
4903,Toyota,2014.0,Corolla,Sedan,USED,Automatic,Front,Unleaded,6.6,129850.0,4,Sedan,4,5,18888.0,1.8,10,WA
