,Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,EngineL,CarAge,State
50,Ford,2013.0,Falcon,Sedan,USED,Automatic,Rear,Unleaded,9.9,163161.0,6,Sedan,4,5,16999.0,4.0,11,NSW
51,Abarth,2021.0,595,Hatchback,USED,Manual,Front,Premium,6.0,13200.0,4,Hatchback,3,4,36990.0,1.4,3,NSW
52,Honda,2014.0,CR-V,SUV,USED,Automatic,4WD,Unleaded,8.7,103211.0,4,SUV,4,5,23880.0,2.4,10,NSW
53,Toyota,2007.0,Corolla,Sedan,USED,Automatic,Front,Unleaded,7.4,177751.0,4,Sedan,4,5,10990.0,1.8,17,NSW
54,Toyota,2016.0,HiAce,People Mover,USED,Automatic,Rear,Unleaded,10.9,119614.0,4,People Mover,3,14,44900.0,2.7,8,NSW
55,Hyundai,2012.0,I30,Hatchback,USED,Automatic,Front,Unleaded,6.9,125546.0,4,Hatchback,5,5,15880.0,1.8,12,NSW
56,Mazda,2013.0,6,Sedan,USED,Automatic,Front,Unleaded,6.6,163000.0,4,Sedan,4,5,16995.0,2.5,11,NSW
57,Toyota,2008.0,Kluger,SUV,USED,Automatic,Front,Unleaded,11.0,132864.0,6,SUV,4,7,19880.0,3.5,16,NSW
58,Hyundai,2018.0,Santa,SUV,USED,Automatic,AWD,Diesel,7.8,71655.0,4,SUV,4,7,43999.0,2.2,6,NSW
59,BMW,2012.0,X3,SUV,USED,Automatic,4WD,Diesel,5.6,109459.0,4,SUV,4,5,18888.0,2.0,12,NSW
60,Holden,2016.0,Cascada,Convertible,USED,Automatic,Front,Premium,7.5,65361.0,4,Convertible,2,4,24995.0,1.6,8,NSW
61,Mercedes-Benz,2006.0,ML320,SUV,USED,Automatic,4WD,Diesel,9.6,212953.0,6,SUV,4,5,9998.0,3.0,18,NSW
62,Mitsubishi,2009.0,Lancer,Sedan,USED,Automatic,Front,Unleaded,8.2,163012.0,4,Sedan,4,5,9990.0,2.0,15,NSW
63,Audi,2014.0,A5,Coupe,USED,Automatic,AWD,Premium,6.7,82119.0,4,Coupe,2,4,27380.0,2.0,10,NSW
